,Week_Of,Mon,Tue,Wed,Thu,Fri
97,1998 Jul-27 to Jul-31,2.00,1.97,1.99,1.95,1.85
98,1998 Aug- 3 to Aug- 7,1.84,1.90,1.91,1.85,1.82
99,1998 Aug-10 to Aug-14,1.87,1.87,1.85,1.83,1.83
100,1998 Aug-17 to Aug-21,1.93,1.94,1.96,1.90,1.93
101,,,,,,
102,1998 Aug-24 to Aug-28,1.90,1.89,1.83,1.76,1.66
103,1998 Aug-31 to Sep- 4,1.61,1.84,1.72,1.71,1.71
104,1998 Sep- 7 to Sep-11,,1.81,1.78,1.88,1.86
105,1998 Sep-14 to Sep-18,1.86,1.94,2.15,2.12,2.27
106,1998 Sep-21 to Sep-25,2.18,2.29,2.19,2.17,2.38
107,,,,,,
108,1998 Sep-28 to Oct- 2,2.23,2.06,2.22,2.33,2.14
109,1998 Oct- 5 to Oct- 9,2.09,2.01,2.05,2.02,1.80
110,1998 Oct-12 to Oct-16,1.75,1.70,1.80,1.75,1.64
111,1998 Oct-19 to Oct-23,1.74,1.95,2.04,1.95,1.84
112,1998 Oct-26 to Oct-30,1.92,1.85,1.70,2.00,2.00
113,,,,,,
114,1998 Nov- 2 to Nov- 6,1.84,2.10,2.11,2.26,2.25
115,1998 Nov- 9 to Nov-13,2.28,2.30,2.33,2.21,2.21
116,1998 Nov-16 to Nov-20,2.19,2.12,2.10,2.10,2.07
117,1998 Nov-23 to Nov-27,2.02,2.08,2.13,,
118,1998 Nov-30 to Dec- 4,1.63,1.41,1.40,1.21,1.05
119,,,,,,
120,1998 Dec- 7 to Dec-11,1.44,1.79,1.64,1.59,1.55
121,1998 Dec-14 to Dec-18,1.80,1.86,1.95,2.02,2.02
122,1998 Dec-21 to Dec-25,2.05,1.96,1.88,1.89,
123,1998 Dec-28 to Jan- 1,1.79,1.82,1.81,1.95,
124,1999 Jan- 4 to Jan- 8,2.10,2.05,2.04,1.91,1.90
125,,,,,,
126,1999 Jan-11 to Jan-15,1.83,1.82,1.87,1.77,1.78
127,1999 Jan-18 to Jan-22,,1.77,1.81,1.85,1.82
128,1999 Jan-25 to Jan-29,1.76,1.73,1.75,1.75,1.83
129,1999 Feb- 1 to Feb- 5,1.75,1.78,1.80,1.79,1.81
130,1999 Feb- 8 to Feb-12,1.81,1.82,1.80,1.78,1.82
131,,,,,,
132,1999 Feb-15 to Feb-19,,1.79,1.79,1.80,1.79
133,1999 Feb-22 to Feb-26,1.77,1.75,1.73,1.64,1.63
134,1999 Mar- 1 to Mar- 5,1.65,1.67,1.68,1.72,1.74
135,1999 Mar- 8 to Mar-12,1.87,1.86,1.94,1.87,1.81
136,1999 Mar-15 to Mar-19,1.75,1.75,1.75,1.75,1.73
137,,,,,,
138,1999 Mar-22 to Mar-26,1.74,1.80,1.79,1.80,1.83
139,1999 Mar-29 to Apr- 2,1.80,1.89,2.02,1.95,
140,1999 Apr- 5 to Apr- 9,2.03,1.98,2.03,2.07,2.10
141,1999 Apr-12 to Apr-16,2.06,2.14,2.11,2.14,2.14
