,Week_Of,Mon,Tue,Wed,Thu,Fri
422,2003 Oct- 6 to Oct-10,4.40,4.66,4.84,4.78,4.92
423,2003 Oct-13 to Oct-17,4.96,4.84,4.93,4.92,4.53
424,2003 Oct-20 to Oct-24,4.30,4.64,4.89,4.90,4.78
425,,,,,,
426,2003 Oct-27 to Oct-31,4.56,4.45,4.51,4.40,3.98
427,2003 Nov- 3 to Nov- 7,4.12,4.01,4.46,4.74,4.48
428,2003 Nov-10 to Nov-14,4.42,4.52,4.77,4.60,4.62
429,2003 Nov-17 to Nov-21,4.49,4.35,4.46,4.35,4.15
430,2003 Nov-24 to Nov-28,4.57,4.49,4.86,,
431,,,,,,
432,2003 Dec- 1 to Dec- 5,5.02,5.45,5.45,5.70,6.27
433,2003 Dec- 8 to Dec-12,6.06,6.52,6.67,6.56,6.73
434,2003 Dec-15 to Dec-19,6.63,6.58,6.56,6.98,6.92
435,2003 Dec-22 to Dec-26,6.32,5.58,5.50,,
436,2003 Dec-29 to Jan- 2,5.46,5.96,5.76,,
437,,,,,,
438,2004 Jan- 5 to Jan- 9,6.28,7.04,6.61,6.41,6.91
439,2004 Jan-12 to Jan-16,6.29,6.26,5.73,6.02,5.43
440,2004 Jan-19 to Jan-23,,6.15,6.26,6.03,5.82
441,2004 Jan-26 to Jan-30,5.70,5.87,6.04,5.99,5.80
442,2004 Feb- 2 to Feb- 6,5.51,5.69,5.74,5.54,5.38
443,,,,,,
444,2004 Feb- 9 to Feb-13,5.44,5.49,5.34,5.35,5.62
445,2004 Feb-16 to Feb-20,,5.43,5.33,5.28,5.19
446,2004 Feb-23 to Feb-27,5.10,5.08,5.10,5.13,5.27
447,2004 Mar- 1 to Mar- 5,5.17,5.37,5.34,5.17,5.32
448,2004 Mar- 8 to Mar-12,5.42,5.34,5.33,5.33,5.52
449,,,,,,
450,2004 Mar-15 to Mar-19,5.59,5.60,5.61,5.63,5.49
451,2004 Mar-22 to Mar-26,5.46,5.36,5.35,5.22,5.16
452,2004 Mar-29 to Apr- 2,5.25,5.40,5.63,5.82,5.69
453,2004 Apr- 5 to Apr- 9,5.81,5.70,5.76,5.84,
454,2004 Apr-12 to Apr-16,5.85,5.92,5.73,5.68,5.62
455,,,,,,
456,2004 Apr-19 to Apr-23,5.57,5.46,5.52,5.59,5.53
457,2004 Apr-26 to Apr-30,5.60,5.81,5.80,5.78,5.81
458,2004 May- 3 to May- 7,5.80,6.21,6.09,6.22,6.18
459,2004 May-10 to May-14,6.14,6.24,6.41,6.42,6.43
460,2004 May-17 to May-21,6.41,6.28,6.18,6.44,6.35
461,,,,,,
462,2004 May-24 to May-28,6.48,6.73,6.70,6.51,6.45
463,2004 May-31 to Jun- 4,,6.45,6.51,6.44,6.15
464,2004 Jun- 7 to Jun-11,6.09,6.19,6.04,6.00,
465,2004 Jun-14 to Jun-18,6.15,6.35,6.38,6.57,6.48
466,2004 Jun-21 to Jun-25,6.42,6.29,6.30,6.41,6.28
467,,,,,,
468,2004 Jun-28 to Jul- 2,6.13,6.02,6.03,5.95,5.88
469,2004 Jul- 5 to Jul- 9,,6.16,6.27,6.19,5.89
470,2004 Jul-12 to Jul-16,5.95,5.85,5.91,5.92,5.77
471,2004 Jul-19 to Jul-23,5.75,5.80,5.90,5.85,5.98
472,2004 Jul-26 to Jul-30,5.94,5.87,5.77,5.93,6.03
473,,,,,,
474,2004 Aug- 2 to Aug- 6,5.86,5.77,5.70,5.54,5.42
475,2004 Aug- 9 to Aug-13,5.58,5.78,5.64,5.46,5.27
476,2004 Aug-16 to Aug-20,5.34,5.27,5.36,5.34,5.39
477,2004 Aug-23 to Aug-27,5.34,5.23,5.32,5.19,5.05
478,2004 Aug-30 to Sep- 3,5.05,5.04,5.02,4.75,4.32
479,,,,,,
480,2004 Sep- 6 to Sep-10,,4.41,4.69,4.57,4.57
481,2004 Sep-13 to Sep-17,5.12,5.15,5.17,4.82,4.95
482,2004 Sep-20 to Sep-24,5.22,5.43,5.58,5.58,5.41
483,2004 Sep-27 to Oct- 1,5.22,5.45,6.26,6.36,5.38
484,2004 Oct- 4 to Oct- 8,5.72,6.07,6.00,6.24,5.59
485,,,,,,
486,2004 Oct-11 to Oct-15,5.63,5.63,5.38,5.76,5.64
487,2004 Oct-18 to Oct-22,5.64,6.13,7.27,7.35,7.11
488,2004 Oct-25 to Oct-29,7.75,7.78,8.12,6.80,6.43
489,2004 Nov- 1 to Nov- 5,6.98,6.88,7.25,7.40,6.08
490,2004 Nov- 8 to Nov-12,6.62,5.79,6.12,6.19,5.90
491,,,,,,
492,2004 Nov-15 to Nov-19,6.02,6.57,6.06,5.59,4.81
493,2004 Nov-22 to Nov-26,5.24,5.24,5.01,,
494,2004 Nov-29 to Dec- 3,6.76,6.79,6.78,6.69,6.04
495,2004 Dec- 6 to Dec-10,6.05,6.03,5.98,6.04,6.29
496,2004 Dec-13 to Dec-17,6.89,7.10,7.04,6.88,7.26
497,,,,,,
498,2004 Dec-20 to Dec-24,7.14,6.83,7.05,6.98,
499,2004 Dec-27 to Dec-31,6.57,6.27,6.18,6.02,
500,2005 Jan- 3 to Jan- 7,5.53,5.71,5.84,5.79,5.82
501,2005 Jan-10 to Jan-14,6.21,5.96,5.89,6.06,6.45
502,2005 Jan-17 to Jan-21,,6.69,6.19,6.27,6.43
503,,,,,,
504,2005 Jan-24 to Jan-28,6.41,6.44,6.44,6.50,6.23
505,2005 Jan-31 to Feb- 4,6.14,6.28,6.38,6.32,6.12
506,2005 Feb- 7 to Feb-11,6.02,5.95,6.20,6.21,6.02
507,2005 Feb-14 to Feb-18,5.95,6.01,6.10,6.05,5.88
508,2005 Feb-21 to Feb-25,,5.92,6.02,6.33,6.24
509,,,,,,
510,2005 Feb-28 to Mar- 4,6.62,6.63,6.61,6.71,6.51
511,2005 Mar- 7 to Mar-11,6.66,6.81,6.99,6.91,6.73
512,2005 Mar-14 to Mar-18,6.86,7.16,7.08,7.25,7.12
513,2005 Mar-21 to Mar-25,7.16,7.24,7.11,7.07,
514,2005 Mar-28 to Apr- 1,6.94,6.93,7.18,7.46,7.57
515,,,,,,
516,2005 Apr- 4 to Apr- 8,7.80,7.44,7.46,7.50,7.26
517,2005 Apr-11 to Apr-15,7.17,7.34,7.07,7.02,6.95
518,2005 Apr-18 to Apr-22,6.95,6.95,7.10,6.93,7.06
519,2005 Apr-25 to Apr-29,7.27,7.08,7.10,6.67,6.64
520,2005 May- 2 to May- 6,6.50,6.61,6.49,6.65,6.67
521,,,,,,
522,2005 May- 9 to May-13,6.56,6.67,6.63,6.62,6.47
523,2005 May-16 to May-20,6.45,6.41,6.50,6.39,6.36
524,2005 May-23 to May-27,6.33,6.45,6.33,6.30,6.22
525,2005 May-30 to Jun- 3,,6.31,6.36,6.63,6.65
526,2005 Jun- 6 to Jun-10,7.05,7.13,7.22,7.05,7.09
527,,,,,,
528,2005 Jun-13 to Jun-17,7.08,7.32,7.39,7.41,7.61
529,2005 Jun-20 to Jun-24,7.80,7.46,7.39,7.51,7.45
530,2005 Jun-27 to Jul- 1,7.29,7.04,7.08,7.01,7.01
531,2005 Jul- 4 to Jul- 8,,7.38,7.69,7.62,7.87
532,2005 Jul-11 to Jul-15,7.35,7.79,7.78,7.99,8.02
533,,,,,,
534,2005 Jul-18 to Jul-22,7.77,7.70,7.75,7.64,7.41
535,2005 Jul-25 to Jul-29,7.38,7.45,7.52,7.69,7.76
536,2005 Aug- 1 to Aug- 5,8.03,8.38,8.75,8.55,8.60
537,2005 Aug- 8 to Aug-12,8.93,8.70,8.82,9.29,9.59
538,2005 Aug-15 to Aug-19,9.53,9.66,9.99,9.38,9.09
539,,,,,,
540,2005 Aug-22 to Aug-26,9.44,9.96,10.02,9.77,9.86
541,2005 Aug-29 to Sep- 2,9.86,12.36,12.69,11.36,11.75
542,2005 Sep- 5 to Sep- 9,,11.56,11.03,10.92,11.03
543,2005 Sep-12 to Sep-16,10.68,10.71,10.80,11.24,11.25
544,2005 Sep-19 to Sep-23,11.99,12.76,14.26,14.84,
545,,,,,,
546,2005 Oct- 3 to Oct- 7,,,,,13.67
547,2005 Oct-10 to Oct-14,13.29,13.67,13.77,13.48,12.80
548,2005 Oct-17 to Oct-21,13.89,13.41,13.52,13.24,12.73
549,2005 Oct-24 to Oct-28,12.95,13.90,14.68,13.90,13.10
550,2005 Oct-31 to Nov- 4,12.18,10.80,10.85,10.79,9.67
551,,,,,,
552,2005 Nov- 7 to Nov-11,8.77,9.15,9.31,9.66,9.20
553,2005 Nov-14 to Nov-18,9.15,9.21,11.03,11.92,10.01
554,2005 Nov-21 to Nov-25,10.48,11.15,11.02,,
555,2005 Nov-28 to Dec- 2,11.01,11.17,11.73,12.58,12.95
556,2005 Dec- 5 to Dec- 9,14.27,13.57,13.95,14.25,15.02
557,,,,,,
558,2005 Dec-12 to Dec-16,14.82,15.39,14.81,14.07,13.36
559,2005 Dec-19 to Dec-23,13.73,13.79,13.56,13.03,11.17
560,2005 Dec-26 to Dec-30,,10.22,9.90,10.07,9.52
561,2006 Jan- 2 to Jan- 6,,9.90,9.25,9.24,9.30
562,2006 Jan- 9 to Jan-13,8.79,8.60,8.55,8.70,8.50
563,,,,,,
564,2006 Jan-16 to Jan-20,,8.82,8.86,8.21,8.80
565,2006 Jan-23 to Jan-27,8.29,8.27,8.50,7.86,8.19
566,2006 Jan-30 to Feb- 3,8.36,8.73,8.71,8.01,8.01
567,2006 Feb- 6 to Feb-10,8.24,7.74,7.88,7.55,7.57
568,2006 Feb-13 to Feb-17,7.36,7.03,7.31,7.16,7.39
569,,,,,,
570,2006 Feb-20 to Feb-24,,7.40,7.55,7.23,7.39
571,2006 Feb-27 to Mar- 3,6.97,6.69,6.62,6.69,6.59
572,2006 Mar- 6 to Mar-10,6.50,6.53,6.47,6.31,6.40
573,2006 Mar-13 to Mar-17,6.77,7.15,7.10,7.12,7.17
574,2006 Mar-20 to Mar-24,7.00,6.83,7.06,7.16,7.43
575,,,,,,
576,2006 Mar-27 to Mar-31,7.05,7.15,7.16,7.19,6.98
577,2006 Apr- 3 to Apr- 7,7.08,7.04,6.89,7.06,6.81
578,2006 Apr-10 to Apr-14,6.83,6.99,6.78,6.64,
579,2006 Apr-17 to Apr-21,7.22,7.60,7.72,7.95,7.65
580,2006 Apr-24 to Apr-28,7.73,7.37,7.17,6.94,6.64
581,,,,,,
582,2006 May- 1 to May- 5,6.53,6.68,6.56,6.47,6.80
583,2006 May- 8 to May-12,6.54,6.55,6.50,6.80,6.35
584,2006 May-15 to May-19,5.92,5.99,6.15,5.79,5.77
585,2006 May-22 to May-26,5.91,6.27,6.01,5.85,5.78
586,2006 May-29 to Jun- 2,,6.20,5.97,6.25,6.23
587,,,,,,
588,2006 Jun- 5 to Jun- 9,6.40,6.16,5.82,5.84,6.10
589,2006 Jun-12 to Jun-16,6.02,5.95,6.08,6.43,7.03
590,2006 Jun-19 to Jun-23,6.71,6.62,6.50,6.51,6.14
591,2006 Jun-26 to Jun-30,5.89,5.97,6.04,6.09,5.84
592,2006 Jul- 3 to Jul- 7,,,5.70,5.28,5.18
593,,,,,,
594,2006 Jul-10 to Jul-14,5.32,5.51,5.66,5.92,6.28
595,2006 Jul-17 to Jul-21,6.27,6.02,5.89,6.14,5.90
596,2006 Jul-24 to Jul-28,6.33,6.78,6.71,7.03,7.24
597,2006 Jul-31 to Aug- 4,8.04,8.66,8.65,7.61,7.44
598,2006 Aug- 7 to Aug-11,6.97,7.06,7.60,7.95,7.56
599,,,,,,
600,2006 Aug-14 to Aug-18,6.89,6.90,7.01,6.73,6.66
601,2006 Aug-21 to Aug-25,6.72,6.86,7.19,7.22,7.48
602,2006 Aug-28 to Sep- 1,6.51,6.24,6.40,5.80,5.24
603,2006 Sep- 4 to Sep- 8,,5.45,5.70,5.64,5.31
604,2006 Sep-11 to Sep-15,5.29,5.57,5.40,5.09,4.40
605,,,,,,
606,2006 Sep-18 to Sep-22,5.02,4.99,4.87,4.65,4.47
607,2006 Sep-25 to Sep-29,4.31,4.36,4.35,4.15,3.66
608,2006 Oct- 2 to Oct- 6,4.11,4.01,4.38,4.69,4.41
609,2006 Oct- 9 to Oct-13,5.06,5.16,5.66,5.17,4.30
610,2006 Oct-16 to Oct-20,5.13,6.26,6.07,6.77,6.88
611,,,,,,
612,2006 Oct-23 to Oct-27,7.29,7.13,7.20,7.91,7.41
613,2006 Oct-30 to Nov- 3,6.99,6.64,7.15,7.32,7.43
614,2006 Nov- 6 to Nov-10,6.72,6.59,7.39,7.35,7.16
615,2006 Nov-13 to Nov-17,7.26,7.42,7.45,7.59,7.23
616,2006 Nov-20 to Nov-24,7.79,7.57,7.42,,
617,,,,,,
618,2006 Nov-27 to Dec- 1,7.58,7.61,7.74,8.32,8.42
619,2006 Dec- 4 to Dec- 8,7.84,7.32,7.32,7.61,7.45
620,2006 Dec-11 to Dec-15,6.81,6.93,7.21,7.26,6.82
621,2006 Dec-18 to Dec-22,6.62,6.27,6.43,6.09,5.88
622,2006 Dec-25 to Dec-29,,5.72,5.54,5.63,5.50
623,,,,,,
624,2007 Jan- 1 to Jan- 5,,5.40,5.47,5.60,5.52
625,2007 Jan- 8 to Jan-12,6.02,6.15,6.42,6.09,5.97
626,2007 Jan-15 to Jan-19,,6.82,6.57,6.29,6.40
627,2007 Jan-22 to Jan-26,7.20,7.53,7.58,7.18,6.95
628,2007 Jan-29 to Feb- 2,7.35,7.32,7.76,7.93,8.17
629,,,,,,
630,2007 Feb- 5 to Feb- 9,9.14,8.29,7.90,8.06,8.16
631,2007 Feb-12 to Feb-16,7.78,8.09,8.90,8.91,8.45
632,2007 Feb-19 to Feb-23,,7.34,7.51,7.47,7.53
633,2007 Feb-26 to Mar- 2,7.73,7.44,7.23,7.07,7.22
634,2007 Mar- 5 to Mar- 9,7.36,7.55,7.50,7.14,7.05
635,,,,,,
636,2007 Mar-12 to Mar-16,6.81,6.78,6.86,7.02,6.84
637,2007 Mar-19 to Mar-23,6.70,6.81,6.82,7.07,7.16
638,2007 Mar-26 to Mar-30,7.15,7.15,7.47,7.34,7.50
639,2007 Apr- 2 to Apr- 6,7.62,7.57,7.46,7.53,
640,2007 Apr- 9 to Apr-13,7.65,7.65,7.97,7.95,7.93
641,,,,,,
642,2007 Apr-16 to Apr-20,7.66,7.50,7.54,7.54,7.32
643,2007 Apr-23 to Apr-27,7.24,7.57,7.60,7.56,7.44
644,2007 Apr-30 to May- 4,7.71,7.64,7.64,7.58,7.82
645,2007 May- 7 to May-11,7.69,7.50,7.46,7.63,7.53
646,2007 May-14 to May-18,7.85,7.68,7.62,7.69,7.87
647,,,,,,
648,2007 May-21 to May-25,7.66,7.60,7.51,7.56,7.47
649,2007 May-28 to Jun- 1,,7.51,7.71,7.80,7.57
650,2007 Jun- 4 to Jun- 8,7.73,7.83,7.83,7.89,7.52
651,2007 Jun-11 to Jun-15,7.42,7.45,7.60,7.48,7.58
652,2007 Jun-18 to Jun-22,7.69,7.46,7.39,7.24,7.04
653,,,,,,
654,2007 Jun-25 to Jun-29,6.77,6.85,6.74,6.79,6.40
655,2007 Jul- 2 to Jul- 6,6.24,6.37,,6.30,6.15
656,2007 Jul- 9 to Jul-13,6.39,6.44,6.66,6.26,6.27
657,2007 Jul-16 to Jul-20,6.32,6.34,6.23,6.50,6.46
658,2007 Jul-23 to Jul-27,6.00,5.66,5.56,5.83,5.77
659,,,,,,
660,2007 Jul-30 to Aug- 3,6.31,6.53,6.19,6.34,6.11
661,2007 Aug- 6 to Aug-10,6.10,6.38,6.24,6.45,6.57
662,2007 Aug-13 to Aug-17,7.15,6.86,7.30,6.96,7.14
663,2007 Aug-20 to Aug-24,6.47,5.92,5.84,5.73,5.69
664,2007 Aug-27 to Aug-31,5.34,5.56,5.64,5.54,5.49
665,,,,,,
666,2007 Sep- 3 to Sep- 7,,5.30,5.80,6.02,5.53
667,2007 Sep-10 to Sep-14,5.56,5.98,6.13,6.27,6.23
668,2007 Sep-17 to Sep-21,6.38,6.42,6.25,6.02,5.96
669,2007 Sep-24 to Sep-28,6.12,6.54,6.47,6.38,6.15
670,2007 Oct- 1 to Oct- 5,6.07,6.55,6.96,6.91,6.77
671,,,,,,
672,2007 Oct- 8 to Oct-12,6.69,6.63,6.79,6.85,6.46
673,2007 Oct-15 to Oct-19,7.09,7.29,7.12,7.11,6.91
674,2007 Oct-22 to Oct-26,6.63,6.30,6.11,6.49,6.43
675,2007 Oct-29 to Nov- 2,6.66,6.99,7.28,7.09,6.63
676,2007 Nov- 5 to Nov- 9,6.71,7.20,7.42,6.81,6.59
677,,,,,,
678,2007 Nov-12 to Nov-16,6.83,7.22,7.28,7.35,7.29
679,2007 Nov-19 to Nov-23,7.38,6.81,6.67,,6.67
680,2007 Nov-26 to Nov-30,7.53,7.42,7.51,7.45,7.29
681,2007 Dec- 3 to Dec- 7,6.97,7.27,7.04,7.29,7.04
682,2007 Dec-10 to Dec-14,6.98,7.12,7.22,7.46,7.09
683,,,,,,
684,2007 Dec-17 to Dec-21,7.06,7.16,7.18,7.19,7.03
685,2007 Dec-24 to Dec-28,7.03,,6.94,6.80,7.11
686,2007 Dec-31 to Jan- 4,7.11,,7.83,7.84,7.51
687,2008 Jan- 7 to Jan-11,7.61,7.59,7.89,7.96,8.13
688,2008 Jan-14 to Jan-18,8.45,8.43,8.23,8.10,8.42
689,,,,,,
690,2008 Jan-21 to Jan-25,,7.97,7.84,7.85,7.80
691,2008 Jan-28 to Feb- 1,7.87,8.10,8.17,8.10,7.88
692,2008 Feb- 4 to Feb- 8,7.56,7.80,7.94,7.99,8.06
693,2008 Feb-11 to Feb-15,8.38,8.37,8.35,8.50,8.73
694,2008 Feb-18 to Feb-22,,8.91,9.08,8.90,8.65
695,,,,,,
696,2008 Feb-25 to Feb-29,9.15,9.21,9.21,9.11,9.10
697,2008 Mar- 3 to Mar- 7,9.07,9.21,9.37,9.70,9.82
698,2008 Mar-10 to Mar-14,9.59,9.85,9.69,9.74,9.84
699,2008 Mar-17 to Mar-21,9.59,9.10,9.11,8.54,
700,2008 Mar-24 to Mar-28,8.99,9.28,9.25,9.30,9.36
701,,,,,,
702,2008 Mar-31 to Apr- 4,9.86,9.92,9.60,9.68,9.36
703,2008 Apr- 7 to Apr-11,9.48,9.78,9.88,10.18,10.07
704,2008 Apr-14 to Apr-18,10.03,10.16,10.11,10.27,10.08
705,2008 Apr-21 to Apr-25,10.50,10.56,10.33,10.58,10.72
706,2008 Apr-28 to May- 2,10.95,10.94,10.81,10.66,10.37
707,,,,,,
708,2008 May- 5 to May- 9,10.77,11.09,11.08,11.33,11.29
709,2008 May-12 to May-16,11.38,11.18,11.52,11.41,11.31
710,2008 May-19 to May-23,11.10,10.94,11.40,11.57,11.56
711,2008 May-26 to May-30,,11.85,11.60,11.81,11.43
712,2008 Jun- 2 to Jun- 6,11.80,12.27,12.17,12.49,12.71
713,,,,,,
714,2008 Jun- 9 to Jun-13,12.71,12.72,12.49,12.51,12.51
715,2008 Jun-16 to Jun-20,12.73,12.87,12.93,13.09,12.76
716,2008 Jun-23 to Jun-27,12.92,12.96,12.76,12.70,13.10
717,2008 Jun-30 to Jul- 4,13.19,13.28,13.31,13.00,
718,2008 Jul- 7 to Jul-11,12.96,12.47,12.10,11.83,12.15
719,,,,,,
720,2008 Jul-14 to Jul-18,11.58,11.79,11.15,11.43,10.54
721,2008 Jul-21 to Jul-25,10.58,10.16,9.88,9.70,9.34
722,2008 Jul-28 to Aug- 1,9.26,9.17,9.01,9.26,9.05
723,2008 Aug- 4 to Aug- 8,9.20,8.66,8.70,8.77,8.22
724,2008 Aug-11 to Aug-15,8.18,8.23,8.11,8.15,7.82
725,,,,,,
726,2008 Aug-18 to Aug-22,7.74,7.73,8.02,8.04,7.98
727,2008 Aug-25 to Aug-29,7.63,8.02,8.54,8.36,8.24
728,2008 Sep- 1 to Sep- 5,,8.24,7.26,7.24,7.40
729,2008 Sep- 8 to Sep-12,7.68,7.28,7.65,7.83,8.02
730,2008 Sep-15 to Sep-19,8.02,7.76,7.72,8.26,7.79
731,,,,,,
732,2008 Sep-22 to Sep-26,7.66,7.84,8.15,7.63,7.42
733,2008 Sep-29 to Oct- 3,7.13,7.17,7.41,7.64,7.16
734,2008 Oct- 6 to Oct-10,6.87,6.74,6.58,6.69,6.52
735,2008 Oct-13 to Oct-17,6.62,6.74,6.64,6.65,6.76
736,2008 Oct-20 to Oct-24,6.98,6.76,6.94,6.77,6.29
737,,,,,,
738,2008 Oct-27 to Oct-31,6.27,6.40,6.58,6.75,6.18
739,2008 Nov- 3 to Nov- 7,6.45,6.79,6.94,7.04,6.60
740,2008 Nov-10 to Nov-14,7.07,7.02,6.65,6.31,6.33
741,2008 Nov-17 to Nov-21,6.55,6.74,6.76,6.76,6.56
742,2008 Nov-24 to Nov-28,6.85,6.71,6.43,,6.43
743,,,,,,
744,2008 Dec- 1 to Dec- 5,6.48,6.68,6.48,6.55,5.99
745,2008 Dec- 8 to Dec-12,5.73,5.57,5.67,5.86,5.56
746,2008 Dec-15 to Dec-19,5.75,5.75,5.79,5.63,5.66
747,2008 Dec-22 to Dec-26,5.39,5.37,5.44,,5.44
748,2008 Dec-29 to Jan- 2,5.81,5.71,5.63,,5.41
749,,,,,,
750,2009 Jan- 5 to Jan- 9,5.83,6.10,5.89,5.96,5.60
751,2009 Jan-12 to Jan-16,5.59,5.70,5.47,5.27,5.09
752,2009 Jan-19 to Jan-23,,4.86,4.87,4.72,4.75
753,2009 Jan-26 to Jan-30,4.62,4.76,4.84,4.71,4.77
754,2009 Feb- 2 to Feb- 6,4.48,5.04,5.01,4.84,4.67
755,,,,,,
756,2009 Feb- 9 to Feb-13,4.76,4.84,4.68,4.73,4.60
757,2009 Feb-16 to Feb-20,,4.35,4.35,4.46,4.21
758,2009 Feb-23 to Feb-27,4.23,4.21,4.20,4.08,4.04
759,2009 Mar- 2 to Mar- 6,4.36,4.43,4.23,4.22,3.93
760,2009 Mar- 9 to Mar-13,3.86,3.88,3.92,3.87,3.90
761,,,,,,
762,2009 Mar-16 to Mar-20,3.78,3.78,3.75,3.68,3.99
763,2009 Mar-23 to Mar-27,4.17,4.13,4.13,4.16,3.73
764,2009 Mar-30 to Apr- 3,3.63,3.58,3.56,3.69,3.66
765,2009 Apr- 6 to Apr-10,3.74,3.60,3.50,3.59,
766,2009 Apr-13 to Apr-17,3.46,3.59,3.60,3.54,3.47
767,,,,,,
768,2009 Apr-20 to Apr-24,3.55,3.43,3.48,3.46,3.31
769,2009 Apr-27 to May- 1,3.19,3.29,3.43,3.25,3.30
770,2009 May- 4 to May- 8,3.47,3.62,3.67,3.96,4.16
771,2009 May-11 to May-15,4.24,4.41,4.42,4.10,4.05
772,2009 May-18 to May-22,4.02,3.99,3.75,3.77,3.41
773,,,,,,
774,2009 May-25 to May-29,,3.35,3.49,3.55,3.92
775,2009 Jun- 1 to Jun- 5,3.86,4.05,3.81,3.58,3.51
776,2009 Jun- 8 to Jun-12,3.53,3.53,3.56,3.51,3.54
777,2009 Jun-15 to Jun-19,3.80,4.16,3.99,4.19,4.04
778,2009 Jun-22 to Jun-26,4.01,3.91,3.80,3.82,3.81
779,,,,,,
780,2009 Jun-29 to Jul- 3,3.88,3.72,3.63,3.49,
781,2009 Jul- 6 to Jul-10,3.24,3.30,3.22,3.36,3.24
782,2009 Jul-13 to Jul-17,3.17,3.29,3.37,3.21,3.39
783,2009 Jul-20 to Jul-24,3.49,3.48,3.49,3.66,3.37
784,2009 Jul-27 to Jul-31,3.46,3.49,3.41,3.34,3.34
785,,,,,,
786,2009 Aug- 3 to Aug- 7,3.43,3.53,3.61,3.78,3.57
787,2009 Aug-10 to Aug-14,3.55,3.54,3.36,3.34,3.18
788,2009 Aug-17 to Aug-21,3.11,3.12,3.03,3.03,2.78
789,2009 Aug-24 to Aug-28,2.69,2.85,2.76,2.76,2.52
790,2009 Aug-31 to Sep- 4,2.42,2.36,2.25,2.06,1.83
791,,,,,,
792,2009 Sep- 7 to Sep-11,,2.43,2.72,2.68,2.94
793,2009 Sep-14 to Sep-18,2.84,3.21,3.28,3.50,3.21
794,2009 Sep-21 to Sep-25,3.35,3.37,3.43,3.56,3.61
795,2009 Sep-28 to Oct- 2,3.54,3.30,3.25,2.91,2.32
796,2009 Oct- 5 to Oct- 9,2.89,3.23,3.70,4.24,3.92
797,,,,,,
798,2009 Oct-12 to Oct-16,3.96,4.03,3.82,3.88,3.94
799,2009 Oct-19 to Oct-23,4.22,4.60,4.80,4.98,4.88
800,2009 Oct-26 to Oct-30,4.52,4.52,4.59,4.11,4.11
801,2009 Nov- 2 to Nov- 6,4.32,4.33,4.49,4.30,3.95
802,2009 Nov- 9 to Nov-13,3.78,3.76,3.59,3.24,2.51
803,,,,,,
804,2009 Nov-16 to Nov-20,2.65,3.47,3.74,3.57,3.09
805,2009 Nov-23 to Nov-27,3.79,3.63,3.32,,3.32
806,2009 Nov-30 to Dec- 4,4.41,4.30,4.67,4.57,4.53
807,2009 Dec- 7 to Dec-11,4.78,5.10,5.27,5.02,5.21
808,2009 Dec-14 to Dec-18,5.41,5.53,5.57,5.65,5.87
809,,,,,,
810,2009 Dec-21 to Dec-25,5.79,5.56,5.55,5.75,
811,2009 Dec-28 to Jan- 1,5.91,6.01,5.78,5.82,
812,2010 Jan- 4 to Jan- 8,6.09,6.19,6.47,7.51,6.56
813,2010 Jan-11 to Jan-15,5.77,5.57,5.61,5.77,5.66
814,2010 Jan-18 to Jan-22,,5.51,5.54,5.52,5.67
815,,,,,,
816,2010 Jan-25 to Jan-29,5.76,5.61,5.42,5.32,5.26
817,2010 Feb- 1 to Feb- 5,5.30,5.47,5.51,5.47,5.61
818,2010 Feb- 8 to Feb-12,5.73,5.54,5.48,5.53,5.48
819,2010 Feb-15 to Feb-19,,5.65,5.47,5.40,5.10
820,2010 Feb-22 to Feb-26,4.92,4.91,4.91,4.84,4.76
821,,,,,,
822,2010 Mar- 1 to Mar- 5,4.83,4.78,4.76,4.78,4.56
823,2010 Mar- 8 to Mar-12,4.47,4.51,4.44,4.47,4.35
824,2010 Mar-15 to Mar-19,4.29,4.38,4.27,4.19,4.01
825,2010 Mar-22 to Mar-26,4.02,4.08,4.02,4.01,3.92
826,2010 Mar-29 to Apr- 2,3.83,3.79,3.93,3.72,
827,,,,,,
828,2010 Apr- 5 to Apr- 9,3.93,4.16,4.08,3.92,3.90
829,2010 Apr-12 to Apr-16,4.04,3.97,4.15,4.16,3.97
830,2010 Apr-19 to Apr-23,4.02,3.93,3.96,3.95,4.07
831,2010 Apr-26 to Apr-30,4.23,4.18,4.19,4.24,3.94
832,2010 May- 3 to May- 7,3.86,3.96,4.00,3.97,3.91
833,,,,,,
834,2010 May-10 to May-14,4.08,4.15,4.18,4.26,4.27
835,2010 May-17 to May-21,4.34,4.42,4.28,4.12,4.12
836,2010 May-24 to May-28,4.08,4.08,4.19,4.22,4.31
837,2010 May-31 to Jun- 4,,4.39,4.32,4.46,4.60
838,2010 Jun- 7 to Jun-11,4.67,4.89,4.75,4.68,4.68
839,,,,,,
840,2010 Jun-14 to Jun-18,4.94,5.11,5.13,5.14,5.17
841,2010 Jun-21 to Jun-25,5.15,4.87,4.90,4.88,4.84
842,2010 Jun-28 to Jul- 2,4.85,4.68,4.53,4.54,4.72
843,2010 Jul- 5 to Jul- 9,,4.85,4.76,4.61,4.36
844,2010 Jul-12 to Jul-16,4.42,4.46,4.39,4.43,4.68
845,,,,,,
846,2010 Jul-19 to Jul-23,4.56,4.59,4.70,4.67,4.69
847,2010 Jul-26 to Jul-30,4.65,4.72,4.75,4.80,4.81
848,2010 Aug- 2 to Aug- 6,4.94,4.78,4.77,4.84,4.67
